Symbol,UnderlyingSymbol,TradeDate,Quantity,TradePrice
LABU,,20230209,100,9
LABU,,20230306,100,8
LABU,,20230329,-100,4.965
SOXL,,20230203,-200,14
SOXL,,20230210,-100,15.532
SOXL,,20230214,-100,17.225
SOXL,,20230310,200,15.5
SOXL,,20230310,-100,16
SOXL,,20230310,-100,15
CCL   240119C00007500,CCL,20230104,-1,3.2
CCL   240119C00010000,CCL,20230109,-1,2.5
CCL   240119C00010000,CCL,20230214,-1,3.69
CCL   240119C00012500,CCL,20230120,2,1.86
CCL   240119C00012500,CCL,20230120,1,1.86
CCL   240119C00012500,CCL,20230120,2,1.86
CCL   240119C00012500,CCL,20230216,-3,2.25
CCL   240119C00012500,CCL,20230216,-2,2.25
CCL   240119C00015000,CCL,20230103,1,0.73
CCL   240119C00015000,CCL,20230103,1,0.73
CCL   240119C00015000,CCL,20230214,1,1.48
CCL   240119C00017500,CCL,20230120,-2,0.7
CCL   240119C00017500,CCL,20230120,-2,0.7
CCL   240119C00017500,CCL,20230120,-1,0.7
CCL   240119C00017500,CCL,20230216,3,0.87
CCL   240119C00017500,CCL,20230216,2,0.87
CCL   240119P00010000,CCL,20230112,-1,2.27
CCL   240119P00010000,CCL,20230313,1,2.3
LABU  230203P00007500,LABU,20230130,-1,0.26
LABU  230203P00007500,LABU,20230203,1,0
LABU  230210P00009000,LABU,20230202,-1,0.55
LABU  230210P00009000,LABU,20230209,1,0
LABU  230217P00008000,LABU,20230214,-1,0.59
LABU  230217P00008000,LABU,20230214,1,0.76
LABU  230310P00008000,LABU,20230214,-1,1.06
LABU  230310P00008000,LABU,20230306,1,0
LABU  230317C00007000,LABU,20230307,-1,0.17
LABU  230317C00007000,LABU,20230317,1,0
LABU  230317P00006500,LABU,20230307,-1,0.4
LABU  230317P00006500,LABU,20230313,1,1.16
LABU  230317P00007000,LABU,20230221,-1,0.82
LABU  230317P00007000,LABU,20230313,1,1.71
LABU  230324C00006000,LABU,20230315,-1,0.17
LABU  230324C00006000,LABU,20230324,1,0
LABU  230331C00007000,LABU,20230301,-1,0.52
LABU  230331C00007000,LABU,20230331,1,0
LABU  230331P00005000,LABU,20230329,-1,0.15
LABU  230331P00005000,LABU,20230330,1,0.14
LABU  230331P00007000,LABU,20230301,-1,0.86
LABU  230331P00007000,LABU,20230313,1,1.76
LABU  230406P00006000,LABU,20230309,-1,0.6
LABU  230406P00006000,LABU,20230313,1,1
LABU  230414C00005000,LABU,20230324,-1,0.21
LABU  230414C00005000,LABU,20230403,1,0.38
LABU  230602P00006000,LABU,20230525,-1,0.33
LABU  230602P00006000,LABU,20230602,1,0
LABU  230609P00006500,LABU,20230511,1,0.53
LABU  230609P00006500,LABU,20230515,-1,0.35
LABU  230609P00007000,LABU,20230515,1,0.56
LABU  230609P00007000,LABU,20230516,-1,0.92
LABU  230616P00007000,LABU,20230614,-1,0.19
LABU  230616P00007000,LABU,20230616,1,0
LABU  240119C00005000,LABU,20230310,2,1.57
LABU  240119C00005000,LABU,20230310,3,1.57
LABU  240119C00005000,LABU,20230525,-2,2.29
LABU  240119C00005000,LABU,20230525,-1,2.29
LABU  240119C00006000,LABU,20230310,-3,1.23
LABU  240119C00006000,LABU,20230310,-2,1.23
LABU  240119C00006000,LABU,20230419,1,1.9
LABU  240119C00006000,LABU,20230421,1,1.83
LABU  240119C00006000,LABU,20230525,2,1.85
LABU  240119C00006000,LABU,20230525,1,1.85
LABU  240119C00007000,LABU,20230109,-1,2.74
LABU  240119C00007000,LABU,20230515,1,2.15
LABU  240119C00010000,LABU,20230109,-1,1.91
LABU  240119C00010000,LABU,20230417,1,0.74
LABU  240119C00012000,LABU,20230130,-1,1.52
LABU  240119C00012000,LABU,20230217,1,1.21
LABU  240119C00013000,LABU,20230329,1,0.32
LABU  240119C00016000,LABU,20230111,1,1.09
LABU  240119C00016000,LABU,20230323,1,0.19
LABU  240119P00001000,LABU,20230310,3,0.09
LABU  240119P00001000,LABU,20230310,4,0.09
LABU  240119P00001000,LABU,20230310,3,0.09
LABU  240119P00005000,LABU,20230316,-1,1.62
LABU  240119P00005000,LABU,20230403,1,1.48
LABU  240119P00006000,LABU,20230313,-1,2.11
LABU  240119P00006000,LABU,20230313,-1,2.11
LABU  240119P00006000,LABU,20230314,1,2
LABU  240119P00006000,LABU,20230315,-1,2.15
LABU  240119P00006000,LABU,20230417,1,1.8
LABU  240119P00006000,LABU,20230421,1,1.83
LABU  240119P00007000,LABU,20230313,-1,2.79
LABU  240119P00007000,LABU,20230428,1,2.44
LABU  240119P00007000,LABU,20230501,1,2.25
LABU  240119P00007000,LABU,20230502,-1,2.5
LABU  240119P00008000,LABU,20230109,-1,3.17
LABU  240119P00008000,LABU,20230109,-1,3.17
LABU  240119P00008000,LABU,20230217,1,2.66
LABU  240119P00008000,LABU,20230217,1,2.66
LABU  240119P00008000,LABU,20230313,-1,3.51
LABU  240119P00008000,LABU,20230313,-1,3.52
LABU  240119P00008000,LABU,20230503,1,3.01
LABU  240119P00008000,LABU,20230505,1,2.78
LABU  240119P00009000,LABU,20230322,-1,4.88
LABU  240119P00009000,LABU,20230329,1,4.62
LABU  240119P00010000,LABU,20230317,-1,5.4
LABU  240119P00010000,LABU,20230413,1,4.96
LABU  240119P00011000,LABU,20230614,1,4.25
LABU  240119P00014000,LABU,20230112,1,7.03
LABU  240119P00015000,LABU,20230518,1,8.78
LABU  250117C00005000,LABU,20230323,1,2.09
LABU  250117C00005000,LABU,20230323,1,2.09
LABU  250117C00005000,LABU,20230417,-1,2.82
LABU  250117C00005000,LABU,20230511,-1,3.88
LABU  250117C00006000,LABU,20230323,-1,1.79
LABU  250117C00006000,LABU,20230323,-1,1.79
LABU  250117C00006000,LABU,20230419,-1,2.65
LABU  250117C00006000,LABU,20230511,1,3.52
LABU  250117C00007000,LABU,20230421,-1,2.28
LABU  250117C00008000,LABU,20230515,-1,2.87
LABU  250117C00008000,LABU,20230518,1,2.27
LABU  250117P00004000,LABU,20230324,-1,1.49
LABU  250117P00004000,LABU,20230324,-1,1.65
LABU  250117P00004000,LABU,20230518,1,1.22
LABU  250117P00004000,LABU,20230518,1,1.22
LABU  250117P00005000,LABU,20230324,1,2.59
LABU  250117P00005000,LABU,20230324,1,2.36
LABU  250117P00005000,LABU,20230518,-1,1.68
LABU  250117P00005000,LABU,20230518,-1,1.68
LABU  250117P00012000,LABU,20230518,-1,6.71
LABU  250117P00015000,LABU,20230518,-1,9.17
SOXL  230113C00012000,SOXL,20230109,1,0.5
SOXL  230113C00012000,SOXL,20230112,-1,0.86
SOXL  230113C00012500,SOXL,20230109,1,0.62
SOXL  230113C00012500,SOXL,20230112,-1,0.5
SOXL  230113P00011500,SOXL,20230109,1,0.68
SOXL  230113P00011500,SOXL,20230113,-1,0
SOXL  230113P00012000,SOXL,20230109,1,0.6
SOXL  230113P00012000,SOXL,20230109,-1,1
SOXL  230120C00012930,SOXL,20230112,1,0.67
SOXL  230120C00012930,SOXL,20230120,-1,0
SOXL  230120P00010000,SOXL,20230109,1,0.26
SOXL  230120P00011000,SOXL,20230112,1,0.16
SOXL  230120P00011000,SOXL,20230112,1,0.16
SOXL  230120P00012870,SOXL,20230112,1,0.67
SOXL  230120P00012870,SOXL,20230119,-1,0.83
SOXL  230203C00014000,SOXL,20230130,-2,0.83
SOXL  230203C00014000,SOXL,20230203,2,0
SOXL  230203P00013000,SOXL,20230130,-1,0.43
SOXL  230203P00013000,SOXL,20230202,1,0.01
SOXL  230203P00013500,SOXL,20230130,-1,0.44
SOXL  230203P00013500,SOXL,20230202,1,0.01
SOXL  230203P00014000,SOXL,20230131,-1,0.63
SOXL  230203P00014000,SOXL,20230131,1,0.67
SOXL  230203P00016000,SOXL,20230201,-1,1.11
SOXL  230203P00016000,SOXL,20230201,1,1.08
SOXL  230210C00016500,SOXL,20230208,1,0.54
SOXL  230210C00016500,SOXL,20230209,-1,1.11
SOXL  230210C00017000,SOXL,20230208,-1,0.6
SOXL  230210C00017000,SOXL,20230208,1,0.62
SOXL  230210C00017000,SOXL,20230208,1,0.65
SOXL  230210C00017000,SOXL,20230208,-1,0.33
SOXL  230210C00017000,SOXL,20230209,1,0.3
SOXL  230210C00017000,SOXL,20230209,-1,0.2
SOXL  230210P00009500,SOXL,20230106,-1,1.02
SOXL  230210P00009500,SOXL,20230112,1,0.29
SOXL  230210P00012000,SOXL,20230109,-1,1.45
SOXL  230210P00012000,SOXL,20230123,1,0.33
SOXL  230210P00017500,SOXL,20230207,1,0.6
SOXL  230210P00017500,SOXL,20230208,-1,0.92
SOXL  230210P00017500,SOXL,20230209,1,0.46
SOXL  230210P00017500,SOXL,20230209,-1,0.88
SOXL  230217C00013000,SOXL,20230119,1,0.98
SOXL  230217C00013000,SOXL,20230123,-1,2.24
SOXL  230217C00014000,SOXL,20230118,1,1.25
SOXL  230217C00014000,SOXL,20230123,-1,1.82
SOXL  230217C00016000,SOXL,20230210,-1,0.97
SOXL  230217C00016000,SOXL,20230210,1,0.82
SOXL  230217C00016000,SOXL,20230216,1,0.56
SOXL  230217C00016000,SOXL,20230216,-1,0.55
SOXL  230217C00017000,SOXL,20230216,-1,0.12
SOXL  230217C00017000,SOXL,20230216,1,0.13
SOXL  230217P00012000,SOXL,20230119,1,1.34
SOXL  230217P00012000,SOXL,20230202,-1,0.09
SOXL  230217P00013000,SOXL,20230118,1,1.18
SOXL  230217P00013000,SOXL,20230119,-1,1.84
SOXL  230217P00013000,SOXL,20230210,2,0.26
SOXL  230217P00013000,SOXL,20230210,2,0.26
SOXL  230217P00013000,SOXL,20230214,-4,0.03
SOXL  230217P00015500,SOXL,20230210,1,1.11
SOXL  230217P00015500,SOXL,20230214,-1,0.32
SOXL  230224C00013000,SOXL,20230222,2,0.91
SOXL  230224C00013000,SOXL,20230222,2,0.91
SOXL  230224C00013000,SOXL,20230223,-1,2.16
SOXL  230224C00013000,SOXL,20230223,-1,2.05
SOXL  230224C00013000,SOXL,20230223,-1,2.16
SOXL  230224C00013000,SOXL,20230223,-1,2.18
SOXL  230224C00014000,SOXL,20230123,1,1.79
SOXL  230224C00014000,SOXL,20230130,1,1.66
SOXL  230224C00014000,SOXL,20230201,-1,3.02
SOXL  230224C00014000,SOXL,20230201,-1,3.34
SOXL  230224C00014000,SOXL,20230221,1,0.85
SOXL  230224C00014000,SOXL,20230221,2,0.85
SOXL  230224C00014000,SOXL,20230222,-3,0.34
SOXL  230224C00014000,SOXL,20230222,-1,0.34
SOXL  230224C00014000,SOXL,20230223,1,1.28
SOXL  230224C00015000,SOXL,20230217,1,1.17
SOXL  230224C00015000,SOXL,20230217,1,1.17
SOXL  230224C00015000,SOXL,20230221,-1,0.37
SOXL  230224C00015000,SOXL,20230221,-2,0.37
SOXL  230224C00015000,SOXL,20230223,1,0.45
SOXL  230224C00016000,SOXL,20230216,1,1.09
SOXL  230224C00016000,SOXL,20230217,-1,0.64
SOXL  230224C00016000,SOXL,20230217,-1,0.64
SOXL  230224C00016000,SOXL,20230223,1,0.14
SOXL  230224C00017000,SOXL,20230216,-1,0.6
SOXL  230224C00017000,SOXL,20230223,1,0.03
SOXL  230224P00012500,SOXL,20230127,-1,0.67
SOXL  230224P00012500,SOXL,20230127,-1,0.67
SOXL  230224P00012500,SOXL,20230127,1,0.65
SOXL  230224P00012500,SOXL,20230127,1,0.65
SOXL  230224P00013000,SOXL,20230214,2,0.14
SOXL  230224P00013000,SOXL,20230214,1,0.14
SOXL  230224P00013000,SOXL,20230214,1,0.14
SOXL  230224P00013000,SOXL,20230221,-1,0.19
SOXL  230224P00013000,SOXL,20230222,-2,0.18
SOXL  230224P00013000,SOXL,20230222,-1,0.18
SOXL  230224P00015000,SOXL,20230123,1,1.86
SOXL  230224P00015000,SOXL,20230210,-1,1.13
SOXL  230224P00015500,SOXL,20230214,1,0.63
SOXL  230224P00015500,SOXL,20230217,-1,0.76
SOXL  230224P00017000,SOXL,20230202,-1,1.35
SOXL  230224P00017000,SOXL,20230215,1,0.75
SOXL  230224P00020000,SOXL,20230201,-1,3.9
SOXL  230224P00020000,SOXL,20230201,-1,3.48
SOXL  230224P00020000,SOXL,20230202,1,3.06
SOXL  230224P00020000,SOXL,20230202,1,3.06
SOXL  230303C00013000,SOXL,20230201,2,3.21
SOXL  230303C00013000,SOXL,20230201,2,3.21
SOXL  230303C00013000,SOXL,20230202,-2,4.98
SOXL  230303C00013000,SOXL,20230202,-2,4.98
SOXL  230303C00015000,SOXL,20230207,-1,2.54
SOXL  230303C00015000,SOXL,20230207,1,3.01
SOXL  230303C00017000,SOXL,20230202,-1,2.15
SOXL  230303C00017000,SOXL,20230210,1,1.08
