"Symbol","UnderlyingSymbol","TradeDate","Quantity","TradePrice"
"CCL","","20220819","-500","9"
"CCL","","20220826","-100","9.5"
"SOXL","","20220923","100","10.5"
"SOXL","","20220923","100","12"
"SOXL","","20220923","100","11"
"SOXL","","20220923","100","11.5"
"CCL   220121C00030000","CCL","20220121","4","0"
"CCL   220218C00027500","CCL","20220125","-1","0.04"
"CCL   220318C00022500","CCL","20220209","-1","1.85"
"CCL   220318C00025000","CCL","20220210","-1","1.03"
"CCL   220318C00027500","CCL","20220125","-1","0.17"
"CCL   220318P00015000","CCL","20220127","6","0.26"
"CCL   220318P00015000","CCL","20220127","-6","0.25"
"CCL   220318P00020000","CCL","20220202","1","1.11"
"CCL   220318P00020000","CCL","20220224","-1","1.74"
"CCL   220408C00022500","CCL","20220331","1","0.12"
"CCL   220408C00022500","CCL","20220405","-1","0.2"
"CCL   220408P00018500","CCL","20220331","1","0.11"
"CCL   220408P00018500","CCL","20220406","-1","0.12"
"CCL   220414C00027500","CCL","20220125","-1","0.32"
"CCL   220429C00019000","CCL","20220406","1","1.18"
"CCL   220429C00019000","CCL","20220414","-1","1.12"
"CCL   220429C00020000","CCL","20220401","1","1.07"
"CCL   220429C00020000","CCL","20220405","-1","1.93"
"CCL   220429P00019500","CCL","20220401","1","0.96"
"CCL   220429P00019500","CCL","20220408","-1","1.64"
"CCL   220429P00019500","CCL","20220413","1","0.88"
"CCL   220429P00019500","CCL","20220425","-1","1.26"
"CCL   220520C00018000","CCL","20220426","1","1.08"
"CCL   220520C00018000","CCL","20220520","-1","0"
"CCL   220603C00015500","CCL","20220509","1","1.06"
"CCL   220603C00015500","CCL","20220603","-1","0"
"CCL   220603P00014500","CCL","20220509","1","1.1"
"CCL   220603P00014500","CCL","20220520","-1","1.73"
"CCL   220617C00020000","CCL","20220127","1","2.36"
"CCL   220617C00020000","CCL","20220201","-1","3"
"CCL   220617C00020000","CCL","20220304","1","1.61"
"CCL   220617C00022500","CCL","20220113","-1","3.28"
"CCL   220617C00022500","CCL","20220125","1","1.75"
"CCL   220617C00022500","CCL","20220209","-1","3.22"
"CCL   220617C00022500","CCL","20220304","1","0.86"
"CCL   220819C00009000","CCL","20220726","-2","0.72"
"CCL   220819C00009000","CCL","20220726","-1","0.72"
"CCL   220819C00009000","CCL","20220726","-1","0.72"
"CCL   220819C00009000","CCL","20220726","-1","0.72"
"CCL   220819C00009000","CCL","20220819","5","0"
"CCL   220826C00009500","CCL","20220802","-1","0.8"
"CCL   220826C00009500","CCL","20220826","1","0"
"CCL   220916C00020000","CCL","20220318","-1","2.98"
"CCL   220916C00020000","CCL","20220727","1","0.03"
"CCL   220930C00008000","CCL","20220930","5","0.12"
"CCL   220930C00008000","CCL","20220930","5","0.12"
"CCL   220930C00008000","CCL","20220930","-10","0"
"CCL   220930C00009000","CCL","20220901","1","0.9"
"CCL   220930C00009000","CCL","20220909","-1","1.71"
"CCL   220930C00009500","CCL","20220831","1","0.9"
"CCL   220930C00009500","CCL","20220929","2","0.37"
"CCL   220930C00009500","CCL","20220929","2","0.3"
"CCL   220930C00009500","CCL","20220930","-5","0"
"CCL   220930C00010000","CCL","20220826","1","1"
"CCL   220930C00010000","CCL","20220830","1","0.79"
"CCL   220930C00010000","CCL","20220921","1","0.62"
"CCL   220930C00010000","CCL","20220922","1","0.38"
"CCL   220930C00010000","CCL","20220922","2","0.38"
"CCL   220930C00010000","CCL","20220923","5","0.18"
"CCL   220930C00010000","CCL","20220930","-11","0"
"CCL   220930P00009500","CCL","20220928","3","0.35"
"CCL   220930P00009500","CCL","20220929","-1","0.66"
"CCL   220930P00009500","CCL","20220929","-1","0.66"
"CCL   220930P00009500","CCL","20220929","-1","0.66"
"CCL   230120C00010000","CCL","20220809","1","1.75"
"CCL   230120C00010000","CCL","20221019","-1","0.66"
"CCL   230120C00012500","CCL","20220805","2","1.12"
"CCL   230120C00012500","CCL","20220805","1","1.12"
"CCL   230120C00012500","CCL","20221019","-3","0.23"
"CCL   230317P00005000","CCL","20220802","1","0.54"
"CCL   230317P00005000","CCL","20220802","1","0.54"
"CCL   230317P00005000","CCL","20220825","2","0.4"
"CCL   230317P00005000","CCL","20220914","-4","0.33"
"CCL   240119C00007500","CCL","20220930","1","2.64"
"CCL   240119C00007500","CCL","20221010","1","2.04"
"CCL   240119C00007500","CCL","20221111","-1","4.88"
"CCL   240119C00010000","CCL","20221019","1","2.34"
"CCL   240119C00010000","CCL","20221019","1","2.33"
"CCL   240119C00010000","CCL","20221107","1","2.59"
"CCL   240119C00010000","CCL","20221205","-1","3.02"
"CCL   240119C00015000","CCL","20221019","-1","1.19"
"CCL   240119C00015000","CCL","20221104","-1","1.43"
"CCL   240119C00015000","CCL","20221107","-1","1.2"
"CCL   240119C00015000","CCL","20221110","-1","1.54"
"CCL   240119C00015000","CCL","20221205","1","1.48"
"CCL   240119P00005000","CCL","20220726","1","1.08"
"CCL   240119P00005000","CCL","20220726","2","1.08"
"CCL   240119P00005000","CCL","20220914","-1","0.81"
"CCL   240119P00005000","CCL","20220914","-2","0.81"
"INTC  221028P00026500","INTC","20221021","-1","0.94"
"INTC  221028P00026500","INTC","20221028","1","0"
"INTC  221028P00027500","INTC","20221021","1","1.44"
"INTC  221028P00027500","INTC","20221028","-1","0"
"LABU  220909P00009500","LABU","20220908","1","0.28"
"LABU  220909P00009500","LABU","20220909","-1","0"
"LABU  220916C00008500","LABU","20220906","1","0.56"
"LABU  220916C00008500","LABU","20220907","-1","0.75"
"LABU  220923P00008000","LABU","20220919","-1","0.57"
"LABU  220923P00008000","LABU","20220920","1","0.47"
"LABU  221007P00006000","LABU","20220926","-1","0.6"
"LABU  221007P00006000","LABU","20221004","1","0.05"
"LABU  221021P00006500","LABU","20220922","-1","0.97"
"LABU  221021P00006500","LABU","20221021","1","0.08"
"LABU  221028P00006500","LABU","20221021","-1","0.47"
"LABU  221028P00006500","LABU","20221025","1","0.19"
"LABU  221111P00006500","LABU","20221104","-1","0.47"
"LABU  221111P00006500","LABU","20221111","1","0"
"LABU  221118P00008000","LABU","20221111","-1","0.47"
"LABU  221118P00008000","LABU","20221117","1","1.28"
"LABU  221216C00005000","LABU","20221010","1","2.34"
"LABU  221216C00005000","LABU","20221021","-1","2.2"
"LABU  221216C00006000","LABU","20221007","1","2.18"
"LABU  221216C00006000","LABU","20221018","-1","2.49"
"LABU  221216C00007000","LABU","20221010","-1","1.35"
"LABU  221216C00007000","LABU","20221021","1","1.21"
"LABU  221216C00008000","LABU","20221007","-1","1.3"
"LABU  221216C00008000","LABU","20221018","1","1.51"
"LABU  221216C00010000","LABU","20220908","1","2.29"
"LABU  221216C00010000","LABU","20221017","-1","0.65"
"LABU  221216C00013000","LABU","20220913","1","1.1"
"LABU  221216C00013000","LABU","20221031","-1","0.23"
"LABU  221216P00004000","LABU","20220908","1","0.29"
"LABU  221216P00004000","LABU","20221010","-1","0.44"
"LABU  221216P00008000","LABU","20221117","-1","1.68"
"LABU  221216P00008000","LABU","20221201","1","1"
"LABU  240119C00007000","LABU","20221031","1","3.87"
"LABU  240119C00007000","LABU","20221109","1","2.74"
"LABU  240119C00010000","LABU","20221017","1","2.7"
"LABU  240119C00010000","LABU","20221104","1","2.27"
"LABU  240119C00013000","LABU","20221031","-1","2.41"
"LABU  240119C00013000","LABU","20221109","-1","1.52"
"LABU  240119C00013000","LABU","20221205","1","1.85"
"LABU  240119C00016000","LABU","20221104","-1","1.52"
"LABU  240119C00016000","LABU","20221104","-1","1.37"
"LABU  240119P00011000","LABU","20221110","-1","5.66"
"LABU  240119P00014000","LABU","20221117","-1","8.27"
"LABU  240119P00015000","LABU","20221116","-1","8.92"
"SOXL  220408C00033500","SOXL","20220406","1","0.36"
"SOXL  220408C00033500","SOXL","20220408","-1","0"
"SOXL  220408C00035000","SOXL","20220405","1","1.03"
"SOXL  220408C00035000","SOXL","20220405","1","0.54"
"SOXL  220408C00035000","SOXL","20220408","-2","0"
"SOXL  220408P00033000","SOXL","20220405","1","0.95"
"SOXL  220408P00033000","SOXL","20220406","-1","2.76"
"SOXL  220414C00030000","SOXL","20220408","1","1.05"
"SOXL  220414C00030000","SOXL","20220412","-1","0.46"
"SOXL  220422C00027000","SOXL","20220414","1","1"
"SOXL  220422C00027000","SOXL","20220418","-1","1.53"
"SOXL  220422C00030000","SOXL","20220412","1","1.25"
"SOXL  220422C00030000","SOXL","20220420","-1","1.4"
"SOXL  220422P00026000","SOXL","20220412","1","1.12"
"SOXL  220422P00026000","SOXL","20220414","-1","1.61"
"SOXL  220422P00027000","SOXL","20220418","1","1.26"
"SOXL  220422P00027000","SOXL","20220419","-1","0.75"
"SOXL  220422P00028000","SOXL","20220419","1","1.15"
"SOXL  220422P00028000","SOXL","20220421","-1","1.93"
"SOXL  220429C00024500","SOXL","20220426","1","1"
